DepartmentDescription,DepartmentDescription_3,DepartmentDescription_4,DepartmentDescription_5,DepartmentDescription_6,DepartmentDescription_7,DepartmentDescription_8,DepartmentDescription_9,DepartmentDescription_12,DepartmentDescription_14,DepartmentDescription_15,DepartmentDescription_18,DepartmentDescription_19,DepartmentDescription_20,DepartmentDescription_21,DepartmentDescription_22,DepartmentDescription_23,DepartmentDescription_24,DepartmentDescription_25,DepartmentDescription_26,DepartmentDescription_27,DepartmentDescription_28,DepartmentDescription_29,DepartmentDescription_30,DepartmentDescription_31,DepartmentDescription_32,DepartmentDescription_33,DepartmentDescription_34,DepartmentDescription_35,DepartmentDescription_36,DepartmentDescription_37,DepartmentDescription_38,DepartmentDescription_39,DepartmentDescription_40,DepartmentDescription_41,DepartmentDescription_42,DepartmentDescription_43,DepartmentDescription_44,DepartmentDescription_999
CAMERAS AND SUPPLIES,0.0226244343891,,0.00904977375566,,,,0.31221719457,,,,,0.00452488687783,,,0.31221719457,,0.0135746606335,0.00452488687783,,0.00452488687783,,,,0.00452488687783,0.00452488687783,0.00452488687783,,,,,0.00452488687783,0.0361990950226,0.0180995475113,0.00904977375566,0.0723981900452,,0.0180995475113,0.14479638009
"CANDY, TOBACCO, COOKIES",0.00244698205546,0.000917618270799,0.0135603588907,0.0687194127243,0.0153955954323,0.0590334420881,0.0121329526917,0.00152936378467,,0.0192699836868,0.00265089722675,0.00122349102773,0.00234502446982,0.00356851549755,0.0055057096248,0.000203915171289,0.0153955954323,0.025795269168,0.00387438825449,0.00397634584013,0.0018352365416,0.00214110929853,0.0055057096248,0.00203915171289,0.0089722675367,0.0112153344209,0.00499592169657,0.0445554649266,0.0244698205546,0.0239600326264,0.0328303425775,0.237255301794,0.266721044046,0.0055057096248,0.0189641109299,0.0121329526917,0.0274265905383,0.0119290375204
CELEBRATION,0.00195447229248,0.000344906875144,0.00954242354564,0.00344906875144,0.00505863416877,0.0116118647965,0.0826626810761,0.00275925500115,0.000344906875144,0.263738790527,0.020809381467,0.000804782708669,0.00103472062543,0.0148309956312,0.00425385146011,0.000114968958381,0.0205794435502,0.0282823637618,0.00160956541734,0.00666819958611,0.00252931708439,0.00103472062543,0.00540354104392,0.00103472062543,0.0228788227179,0.00436882041849,0.00149459645896,0.00517360312716,0.0231087606346,0.0100022993792,0.0103472062543,0.0666819958611,0.09588411129,0.0137962750057,0.130719705679,0.025638077719,0.0712807541964,0.0281673948034
COMM BREAD,0.000262398320651,0.000524796641301,0.00616636053529,0.00209918656521,0.0879690369982,0.0312254001574,0.00354237732879,0.0059695617948,,0.00459197061139,0.000852794542115,0.000524796641301,0.0015743899239,0.00111519286277,0.00262398320651,6.55995801627e-05,0.00728155339806,0.00938073996326,0.0010495932826,0.00163998950407,0.00111519286277,0.00111519286277,0.00209918656521,0.000590396221464,0.00905274206245,0.00583836263448,0.00321437942797,0.0173838887431,0.00767515087903,0.0754395171871,0.10902650223,0.173707688271,0.391498294411,0.00183678824456,0.00531356599318,0.00393597480976,0.0149567042771,0.0077407504592
CONCEPT STORES,0.0571428571429,,,,,,,,,,,,,,,0.0285714285714,,,,,,,,,,,,,,,,,,,,,,0.914285714286
COOK AND DINE,0.00157894736842,0.000131578947368,0.00710526315789,0.00184210526316,0.00815789473684,0.00618421052632,0.0542105263158,0.00421052631579,,0.00802631578947,0.00223684210526,0.00171052631579,0.00328947368421,0.00157894736842,0.0025,0.000263157894737,0.291052631579,0.0171052631579,0.00407894736842,0.00539473684211,0.00552631578947,0.00105263157895,0.00289473684211,0.000657894736842,0.00697368421053,0.00789473684211,0.00486842105263,0.00473684210526,0.0152631578947,0.0259210526316,0.00907894736842,0.0956578947368,0.182763157895,0.0261842105263,0.0571052631579,0.0189473684211,0.0667105263158,0.0471052631579
DAIRY,0.000296668188042,0.000251026928343,0.0054084892743,0.00209949794614,0.0290506617983,0.0413738019169,0.00303514376997,0.00209949794614,,0.00417617526244,0.00104974897307,0.000912825193975,0.00141487905066,0.000890004564126,0.00225924235509,9.12825193975e-05,0.0101780009128,0.00947056138749,0.00141487905066,0.00130077590141,0.000775901414879,0.000775901414879,0.00214513920584,0.000661798265632,0.00990415335463,0.00570515746235,0.00239616613419,0.00926517571885,0.00791875855774,0.0836832496577,0.165495207668,0.157348242812,0.396029210406,0.00187129164765,0.00696029210406,0.00335463258786,0.0156321314468,0.0133044272022
DSD GROCERY,0.00086343148159,0.00106831352807,0.00898554118129,0.00526839548089,0.0306884036762,0.0694696481883,0.00804893754024,0.0040683720658,,0.0104050810748,0.00283907978692,0.0010097758005,0.00283907978692,0.00200491716912,0.00294152081016,0.000248785342153,0.0120734063104,0.0190832991863,0.00218053035181,0.00213662705614,0.00329274717555,0.00194637944155,0.00459521161389,0.00102441023239,0.0128636656325,0.0102880056196,0.00333665047123,0.0897822396535,0.014678335187,0.0480302054674,0.0588304162032,0.189603699584,0.324255107417,0.00439032956741,0.0121465784698,0.00695135514839,0.0196247731663,0.00813674413159
ELECTRONICS,0.00470219435737,,0.00564263322884,0.000626959247649,0.00376175548589,0.00344827586207,0.163322884013,0.00188087774295,,0.00219435736677,0.000626959247649,0.153918495298,0.000940438871473,0.00188087774295,0.201567398119,0.0012539184953,0.0141065830721,0.0137931034483,0.0012539184953,0.000313479623824,0.00219435736677,0.0025078369906,0.00344827586207,0.00595611285266,0.00156739811912,0.00156739811912,0.00156739811912,0.00219435736677,0.00595611285266,0.0100313479624,0.0025078369906,0.0510971786834,0.0523510971787,0.0291536050157,0.0435736677116,0.00438871473354,0.0238244514107,0.180877742947
FABRICS AND CRAFTS,0.00138586418531,,0.012076816472,0.00217778657692,0.00514749554544,0.00752326272025,0.0679073450802,0.000395961195803,0.00296970896852,0.0251435359335,0.00732528212235,0.00118788358741,0.00237576717482,0.254009107108,0.00277172837062,0.000197980597901,0.0538507226292,0.0344486240348,0.00415759255593,0.00593941793704,0.00237576717482,0.00138586418531,0.00593941793704,0.000791922391606,0.0130667194615,0.00415759255593,0.00237576717482,0.00534547614334,0.0154424866363,0.00811720451396,0.0108889328846,0.0580083151851,0.09245693922,0.00871114630766,0.129479311028,0.0328647792516,0.0825579093249,0.0350425658285
FINANCIAL SERVICES,0.500699431129,0.000466287419565,0.00466287419565,0.00130560477478,0.00606173645435,,0.0056887065187,0.000652802387392,0.000186514967826,0.00466287419565,0.00298423948522,0.00447635922783,0.00447635922783,0.00242469458174,0.00885946097174,0.00149211974261,0.0175324069757,0.0184649818148,0.00270446703348,0.00317075445304,0.00373029935652,0.00345052690478,0.00522241909913,0.00251795206565,0.00848643103609,0.00447635922783,0.00317075445304,0.00634150890609,0.0115639280052,0.0113774130374,0.0100718082626,0.0410332929218,0.0487736640865,0.00363704187261,0.0110976405857,0.00857968852,0.0120302154248,0.213466380677
FROZEN FOODS,0.00033173783233,0.000284346713426,0.00540258755509,0.00398085398796,0.107956968864,0.0205203544856,0.00241694706412,0.00104260461589,,0.0044073740581,0.00132695132932,0.000473911189043,0.000995213496991,0.00161129804275,0.00137434244823,0.000142173356713,0.00706127671674,0.00867257475949,0.000995213496991,0.00203781811289,0.00180086251836,0.000710866783565,0.00189564475617,0.00066347566466,0.00526041419838,0.00450215629591,0.00270129377755,0.00928865930525,0.00862518364059,0.0522250130326,0.0620823657647,0.198426614852,0.441069143642,0.00227477370741,0.005449978674,0.00563954314961,0.0174873228757,0.00886213923511
FURNITURE,0.0020964360587,,,,0.0020964360587,,0.0482180293501,,,0.0020964360587,,0.0041928721174,,,0.0167714884696,,0.603773584906,0.0041928721174,,0.0020964360587,0.0062893081761,0.0041928721174,,,0.0041928721174,0.0020964360587,0.0020964360587,,0.0083857442348,0.0062893081761,0.0020964360587,0.0503144654088,0.0482180293501,0.0377358490566,0.0251572327044,0.0020964360587,0.0251572327044,0.0901467505241
"GIRLS WEAR, 4-6X  AND 7-14",0.00044286979628,0.00022143489814,0.00287865367582,0.00022143489814,0.00265721877768,0.00354295837024,0.0380868024801,0.00155004428698,,0.00354295837024,0.00376439326838,0.00066430469442,,0.00022143489814,0.0022143489814,,0.00863596102746,0.406554472985,0.0011071744907,0.00066430469442,0.00132860938884,0.00155004428698,0.0159433126661,0.00044286979628,0.0228077945084,0.00287865367582,0.00022143489814,0.00376439326838,0.0152790079717,0.00730735163862,0.0066430469442,0.0471656333038,0.106510186005,0.0296722763508,0.106510186005,0.012621789194,0.10119574845,0.041186891054
GROCERY DRY GOODS,0.000156245561206,0.0002556745547,0.00545439050027,0.00218743785688,0.0476406920258,0.0217607454334,0.0017897218829,0.00328115678532,,0.00595153546774,0.00100849407687,0.000426124257834,0.00120735206386,0.000610778102895,0.00198857986989,8.52248515667e-05,0.00938893781427,0.00866452657595,0.00122155620579,0.00191755916025,0.00129257691543,0.000838044373739,0.00193176330218,0.000724411238317,0.0067469674157,0.00657651771256,0.00228686685037,0.00968722479475,0.009048038408,0.0777960853385,0.0911479787506,0.179000596574,0.463608988381,0.00198857986989,0.00687480469305,0.00397715973978,0.014360387489,0.00711627510582
HARDWARE,0.00223895786688,0.000203541624262,0.00936291471606,0.0016283329941,0.0075310400977,0.0109912477102,0.125381640545,0.00183187461836,,0.00366374923672,0.00305312436393,0.00447791573377,0.0118054142072,0.00366374923672,0.00773458172196,,0.0797883167108,0.0136372888256,0.154284551191,0.00976999796458,0.00325666598819,0.00407083248524,0.00305312436393,0.00101770812131,0.00508854060655,0.0160797883167,0.0101770812131,0.00427437410951,0.0134337472013,0.00976999796458,0.00834520659475,0.0905760227967,0.105638102992,0.0425401994708,0.0783635253409,0.0230002035416,0.0580093629147,0.0722572766131
HEALTH AND BEAUTY AIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5
HOME DECOR,0.000479961603072,0.000479961603072,0.00887928965683,0.00119990400768,0.00575953923686,0.00527957763379,0.066714662827,0.000479961603072,,0.00815934725222,0.00383969282457,0.00263978881689,0.00239980801536,0.00695944324454,0.00983921286297,0.00167986561075,0.289416846652,0.0199184065275,0.00503959683225,0.00695944324454,0.00167986561075,0.00215982721382,0.00623950083993,0.000719942404608,0.0124790016799,0.00911927045836,0.00551955843533,0.00431965442765,0.0179985601152,0.0155987520998,0.00887928965683,0.0815934725222,0.131989440845,0.0295176385889,0.0746340292777,0.0273578113751,0.0530357571394,0.0710343172546
HOME MANAGEMENT,0.00220507166483,0.000472515356749,0.0100803276106,0.00173255630808,0.00378012285399,0.00929280201607,0.0722948495826,0.00141754607025,,0.00378012285399,0.001890061427,0.00220507166483,0.001890061427,0.00456764844857,0.00362261773508,0.000157505118916,0.307134981887,0.0222082217672,0.00614269963774,0.00393762797291,0.00456764844857,0.000787525594582,0.00378012285399,0.00110253583241,0.00803276106473,0.0184280989132,0.00551267916207,0.001890061427,0.020633170578,0.013230429989,0.00850527642148,0.0897779177823,0.121751456922,0.0176405733186,0.0693022523232,0.0201606552213,0.0563868325721,0.0796975901717
HORTICULTURE AND ACCESS,,0.00138264777048,0.00553059108192,0.00138264777048,0.00449360525406,0.0034566194262,0.0687867265814,,,0.00656757690978,0.0017283097131,0.0017283097131,0.00103698582786,0.00034566194262,0.00241963359834,,0.0107155202212,0.0069132388524,0.0017283097131,0.450051849291,0.00034566194262,0.0017283097131,0.0034566194262,,0.00483926719668,0.00414794331144,0.0051849291393,0.00311095748358,0.0186657449015,0.0210853784998,0.00138264777048,0.0642931213273,0.0985136536467,0.0127894918769,0.0798479087452,0.0159004493605,0.0667127549257,0.0297269270653
HOUSEHOLD CHEMICALS/SUPP,0.000200964630225,0.000200964630225,0.00570739549839,0.00237138263666,0.00872186495177,0.0391479099678,0.00422025723473,0.00213022508039,,0.00301446945338,0.0008038585209,0.000361736334405,0.00196945337621,0.00140675241158,0.00345659163987,0.00040192926045,0.0316720257235,0.0133440514469,0.00200964630225,0.00281350482315,0.00064308681672,0.00217041800643,0.00273311897106,0.00120578778135,0.0125,0.163464630225,0.00361736334405,0.00860128617363,0.0186495176849,0.0301848874598,0.0252813504823,0.208239549839,0.325281350482,0.00474276527331,0.0138263665595,0.00864147909968,0.0361736334405,0.0100884244373
HOUSEHOLD PAPER GOODS,0.000307238540002,0.000798820204006,0.00700503871206,0.00337962394003,0.0148703453361,0.0433206341403,0.00491581664004,0.0170824628241,6.14477080005e-05,0.0274671254762,0.00208922207202,0.000491581664004,0.00178198353201,0.00325672852403,0.00227356519602,0.000122895416001,0.0213223546762,0.0123509893081,0.00141329728401,0.00202777436402,0.00258080373602,0.00147474499201,0.00251935602802,0.00104461103601,0.0100159764041,0.0877473270247,0.00288804227602,0.0114292736881,0.0177583876121,0.0386506083323,0.0301093769202,0.214944082586,0.350989308099,0.00417844414403,0.0127811232641,0.00620621850805,0.0314612264963,0.00688214329606
IMPULSE MERCHANDISE,0.0280022290332,0.00163694622458,0.0180760657565,0.00790610197827,0.0211061577041,0.0866536639733,0.047157982725,0.00289077737531,0.000208971858456,0.0173446642519,0.0120507105043,0.00156728893842,0.00487601003065,0.00860267483979,0.00609501253831,0.000452772359989,0.0286988018947,0.0450334354974,0.00473669545834,0.00456255224296,0.0049456673168,0.0048063527445,0.0127124547228,0.0042142658122,0.0199219838395,0.0122945110059,0.0066870994706,0.0611939258846,0.0409584842575,0.0281067149624,0.0292212315408,0.142797436612,0.14300640847,0.0114237949289,0.0445110058512,0.0162998049596,0.029290888827,0.0399484536082
INFANT APPAREL,0.000165261940175,,0.00148735746158,0.00033052388035,0.00115683358123,0.0026441910428,0.0287555775905,0.000991571641051,,0.010411502231,0.00611469178648,0.00231366716245,0.000991571641051,0.000661047760701,0.00181788134193,,0.0155346223765,0.055693273839,0.000991571641051,0.000495785820526,0.00033052388035,0.00214840522228,0.00561890596596,0.000165261940175,0.399107585523,0.00280945298298,0.00115683358123,0.00165261940175,0.0102462402909,0.00677573954718,0.0046273343249,0.0469343910098,0.107420261114,0.0251198149066,0.140307387209,0.0138820029747,0.0750289208395,0.0261113865477
INFANT CONSUMABLE HARDLINES,0.00103325192561,,0.00272402780387,0.000187863986474,0.00460266766861,0.0339094495585,0.0169077587826,0.000657523952658,,0.00328761976329,0.0025361638174,0.000281795979711,0.000281795979711,0.00103325192561,0.00244223182416,0.000187863986474,0.00911140334398,0.0121172271276,0.00131504790532,0.00150291189179,0.00131504790532,0.00103325192561,0.00309975577682,0.000469659966184,0.442701484125,0.00507232763479,0.00131504790532,0.00488446364832,0.010708247229,0.0143715949652,0.0159684388503,0.11055795604,0.191339470224,0.00901747135074,0.0283674619575,0.007138831486,0.0302461018223,0.0282735299643
JEWELRY AND SUNGLASSES,0.00395882818686,0.000395882818686,0.00950118764846,0.000791765637371,0.00514647664291,0.0102929532858,0.178939034046,0.000395882818686,,0.0122723673793,0.00197941409343,,0.00197941409343,0.0027711797308,0.00237529691211,,0.0126682501979,0.0752177355503,0.000395882818686,0.0055423594616,0.00395882818686,0.00118764845606,0.215360253365,0.000395882818686,0.0154394299287,0.00237529691211,0.00435471100554,0.00118764845606,0.0253365003959,0.00633412509897,0.00435471100554,0.0696753760887,0.0609659540776,0.0372129849565,0.0946159936659,0.0142517814727,0.0605700712589,0.0577988915281
LADIES SOCKS,,,0.0193548387097,,0.00387096774194,0.00516129032258,0.0838709677419,,,0.00129032258065,,0.00129032258065,0.00129032258065,0.00258064516129,0.00516129032258,,0.0193548387097,0.261935483871,0.00645161290323,0.00258064516129,,0.00129032258065,0.0412903225806,0.00258064516129,0.0283870967742,0.00774193548387,0.00258064516129,0.00516129032258,0.0309677419355,0.00774193548387,0.0129032258065,0.08,0.134193548387,0.0193548387097,0.0748387096774,0.0245161290323,0.0903225806452,0.021935483871
LADIESWEAR,0.000458662997363,,0.00412796697626,0.00137598899209,0.00355463822956,0.00389863547758,0.0759087260635,0.000802660245385,,0.00229331498681,0.00160532049077,0.00103199174407,0.000687994496044,0.00332530673088,0.00343997248022,0.000114665749341,0.0103199174407,0.42609792455,0.000343997248022,0.00206398348813,0.000917325994725,0.00137598899209,0.00917325994725,0.000687994496044,0.0108932461874,0.00275197798418,0.000802660245385,0.00286664373352,0.0122692351795,0.0114665749341,0.00699461070978,0.0552688911822,0.0877192982456,0.0142185529182,0.0778580438023,0.0116959064327,0.0529755761954,0.098612544433
LARGE HOUSEHOLD GOODS,0.987012987013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012987012987
LAWN AND GARDEN,0.00170810400455,,0.0113873600304,0.00265705067375,0.0102486240273,0.00455494401215,0.0835073068894,0.0510533308028,,0.00227747200607,0.00455494401215,0.000379578667679,0.00417536534447,0.000948946669197,0.00341620800911,,0.0237236667299,0.00929967735813,0.0081609413551,0.251470867337,0.00474473334599,0.00284684000759,0.00246726133991,0.000379578667679,0.00455494401215,0.00455494401215,0.00797115202126,0.00189789333839,0.0136648320364,0.0218257733915,0.00664262668438,0.0867337255646,0.135889163029,0.0187891440501,0.0848358322262,0.0195483013855,0.0660466881761,0.0430821787816
"LIQUOR,WINE,BEER",0.002331002331,,0.00932400932401,0.259000259,0.018389018389,0.012691012691,0.00259000259,0.003108003108,,0.004921004921,0.001554001554,0.001554001554,0.00259000259,0.001295001295,0.003108003108,,0.011914011914,0.016058016058,0.00259000259,0.00543900543901,0.002849002849,0.001813001813,0.003367003367,0.004403004403,0.004921004921,0.00518000518001,0.003885003885,0.00802900802901,0.010878010878,0.042735042735,0.016058016058,0.228697228697,0.243719243719,0.00569800569801,0.011396011396,0.00595700595701,0.033152033152,0.00880600880601
MEAT - FRESH & FROZEN,0.000105518624037,0.000105518624037,0.00221589110478,0.00263796560093,0.161126938905,0.00253244697689,0.00073863036826,0.00728078505856,,0.00316555872111,0.000105518624037,0.000211037248074,0.000211037248074,0.000105518624037,0.00179381660863,,0.00580352432204,0.00348211459323,0.000633111744223,0.000844148992297,0.00073863036826,0.000422074496149,0.000844148992297,0.000316555872111,0.00400970771341,0.00337659596919,0.00126622348845,0.00263796560093,0.00158277936056,0.273926348,0.0213147620555,0.101192360452,0.3753297457,0.00105518624037,0.00263796560093,0.00168829798459,0.0126622348845,0.00189933523267
MEDIA AND GAMING,0.00501756146513,,0.00752634219769,0.00150526843954,0.00351229302559,0.00250878073256,0.123933768189,0.000501756146513,0.00100351229303,0.00652282990467,0.00752634219769,0.00351229302559,0.00200702458605,0.00150526843954,0.247867536377,0.0341194179629,0.0150526843954,0.0160561966884,0.00150526843954,0.00250878073256,0.00150526843954,0.00301053687908,0.00752634219769,0.00602107375815,0.018564977421,0.00852985449072,0.00100351229303,0.00250878073256,0.0115403913698,0.0115403913698,0.00451580531862,0.0863020572002,0.096838936277,0.0080280983442,0.116407425991,0.0145509282489,0.0456598093327,0.0722528850978
MENS WEAR,0.00302040816327,0.000571428571429,0.00628571428571,0.000734693877551,0.00375510204082,0.00269387755102,0.112897959184,0.000489795918367,,0.00220408163265,0.00204081632653,0.0014693877551,0.00261224489796,0.00220408163265,0.004,0.000489795918367,0.014612244898,0.439265306122,0.00065306122449,0.00195918367347,0.00155102040816,0.00228571428571,0.0256326530612,0.00155102040816,0.00555102040816,0.00302040816327,0.00195918367347,0.00318367346939,0.0121632653061,0.00718367346939,0.00391836734694,0.0635918367347,0.0600816326531,0.0220408163265,0.0699591836735,0.0108571428571,0.0462857142857,0.0572244897959
MENSWEAR,0.00887573964497,,0.00295857988166,,,0.00295857988166,0.150887573964,,,0.00591715976331,0.00295857988166,,0.00295857988166,,,,0.00591715976331,0.390532544379,,,,,0.0177514792899,0.00295857988166,0.0207100591716,0.00295857988166,0.00295857988166,0.00295857988166,0.00887573964497,0.00295857988166,0.00295857988166,0.0532544378698,0.0769230769231,0.0414201183432,0.0680473372781,0.0177514792899,0.0207100591716,0.0828402366864
OFFICE SUPPLIES,0.00182426269383,0.000304043782305,0.0126178169656,0.00212830647613,0.00623289753725,0.0127698388568,0.107783520827,0.00258437214959,0.000152021891152,0.026907874734,0.00744907266646,0.00684098510185,0.00228032836728,0.191091517178,0.00532076619033,0.000912131346914,0.0348130130739,0.0310124657951,0.00501672240803,0.0031924597142,0.00273639404074,0.00243235025844,0.0095773791426,0.00152021891152,0.0115536637276,0.00805716023107,0.00258437214959,0.00896929157799,0.0226512617817,0.0112496199453,0.0129218607479,0.0743387047735,0.100334448161,0.0144420796595,0.11082395865,0.038917604135,0.0749467923381,0.0307084220128
OPTICAL - FRAMES,0.00172711571675,,0.683937823834,,0.00518134715026,0.00518134715026,0.00345423143351,0.00172711571675,,,0.00345423143351,0.00172711571675,,,,,0.00518134715026,0.0155440414508,0.00172711571675,0.00690846286701,0.00172711571675,,,,0.00690846286701,,0.00172711571675,,0.0397236614853,0.00518134715026,0.00345423143351,0.0310880829016,0.0621761658031,0.00345423143351,0.00690846286701,0.00690846286701,0.0172711571675,0.0777202072539
OPTICAL - LENSES,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER DEPARTMENTS,,,,0.0344827586207,0.0344827586207,,0.0344827586207,,,0.0344827586207,,,,,,,,,,,,,,,,,,,,,0.103448275862,,,0.0344827586207,,,0.0344827586207,0.689655172414
