VisitNumber,TripType,Weekday,UpcCount,ScanCount,DepartmentCount,FinelineCount
281,999,4,1,-1,1,1
283,40,4,22,30,11,21
284,8,4,1,1,1,1
285,5,4,5,6,3,5
286,8,4,2,2,2,2
287,40,4,25,35,11,24
288,31,4,1,1,1,1
289,8,4,1,1,1,1
290,3,4,2,2,1,2
291,9,4,5,5,4,4
292,9,4,1,1,1,1
295,999,4,1,1,1,1
298,9,4,2,2,1,2
302,7,4,7,9,3,7
308,7,4,3,3,2,3
309,8,4,2,2,2,2
310,9,4,1,1,1,1
312,8,4,3,3,3,3
313,8,4,2,3,2,2
314,39,4,5,5,5,5
315,39,4,14,21,5,9
316,34,4,4,4,1,3
317,999,4,1,-1,1,1
322,3,4,2,2,1,2
323,9,4,2,2,2,2
324,9,4,2,2,2,2
325,9,4,2,2,2,2
326,36,4,6,6,4,4
328,3,4,2,2,1,2
330,8,4,4,4,1,4
333,999,4,1,0,1,1
334,8,4,1,1,1,1
335,9,4,1,1,1,1
341,39,4,11,17,7,9
343,8,4,1,1,1,1
344,8,4,1,1,1,1
346,33,4,5,22,3,4
347,8,4,1,1,1,1
348,3,4,1,1,1,1
349,32,4,3,3,2,3
350,9,4,1,1,1,1
351,999,4,2,2,1,2
357,999,4,2,2,1,2
358,40,4,33,48,12,29
359,3,4,2,2,1,2
360,6,4,2,2,2,2
361,25,4,5,5,3,5
362,42,4,5,8,3,5
363,9,4,1,1,1,1
367,9,4,1,1,1,1
369,3,4,1,1,1,1
371,18,4,2,6,2,2
372,35,4,4,5,3,4
373,8,4,2,2,2,2
375,42,4,7,7,5,7
377,9,4,1,1,1,1
378,21,4,13,15,1,9
379,40,4,23,30,10,23
382,5,4,2,2,1,2
383,3,4,2,8,1,2
384,8,4,1,1,1,1
385,38,4,24,30,6,19
386,35,4,7,12,4,6
387,25,4,5,5,3,5
388,35,4,1,1,1,1
389,9,4,2,3,2,2
390,8,4,2,1,2,2
393,39,4,6,8,4,6
394,35,4,3,9,1,2
396,29,4,5,5,1,5
397,37,4,8,8,4,8
398,27,4,4,4,2,3
399,3,4,2,4,1,2
400,999,4,1,-1,1,1
402,25,4,3,3,1,3
403,999,4,1,-1,1,1
407,999,4,1,-1,1,1
408,43,4,8,9,5,8
409,999,4,0,-1,0,0
412,3,4,2,2,1,2
413,7,4,5,5,3,4
418,5,4,1,1,1,1
419,20,4,2,1,1,2
420,9,4,3,3,2,3
421,42,4,18,22,7,17
425,3,4,2,2,1,2
427,40,4,22,22,11,21
430,39,4,5,5,3,4
431,39,4,7,7,5,6
433,4,4,1,1,1,1
436,999,4,1,1,1,1
437,999,4,1,-1,1,1
446,33,4,6,6,5,6
447,5,4,1,2,1,1
448,8,4,1,1,1,1
449,25,4,4,4,2,4
452,29,4,2,2,1,2
453,39,4,13,15,6,11
456,3,4,2,2,2,2
457,44,4,7,7,5,7
458,32,4,5,5,2,4
460,5,4,4,4,3,4
461,20,4,4,4,2,4
462,25,4,5,5,2,5
465,3,4,2,2,1,2
466,38,4,5,5,2,5
468,8,4,3,3,3,3
472,4,4,6,6,2,6
473,38,4,4,4,4,4
474,36,4,3,4,2,3
475,27,4,6,10,4,6
476,999,4,1,1,1,1
479,39,4,8,10,5,8
481,24,4,3,4,3,3
482,25,4,5,5,2,5
484,999,4,0,-4,0,0
487,7,4,2,2,2,2
488,8,4,2,2,2,2
491,39,4,4,4,3,4
494,36,4,6,7,2,6
496,44,4,9,10,6,8
497,3,4,2,2,1,2
499,9,4,2,2,2,2
500,7,4,3,3,2,3
501,9,4,3,3,2,3
503,3,4,2,8,1,2
504,9,4,2,2,2,2
505,36,4,5,5,4,5
507,25,4,4,4,3,4
511,999,4,2,2,1,2
513,42,4,9,9,6,7
514,9,4,1,1,1,1
516,8,4,2,2,2,2
517,39,4,16,17,6,13
519,9,4,3,3,2,3
521,5,4,0,1,1,0
522,42,4,6,6,3,6
524,3,4,2,2,1,2
531,38,4,4,4,2,2
534,8,4,3,3,3,3
538,33,4,3,6,2,3
540,999,4,2,2,1,2
542,39,4,6,7,3,6
549,40,4,27,28,9,24
550,32,4,4,5,3,4
551,999,4,2,2,1,2
553,42,4,22,25,9,20
554,9,4,1,1,1,1
556,9,4,2,2,1,2
558,39,4,10,12,4,8
562,9,4,2,2,2,2
563,30,4,4,4,2,3
565,8,4,1,1,1,1
566,999,4,2,2,1,2
567,25,4,7,10,3,7
569,8,4,1,3,1,1
570,33,4,4,4,3,4
574,999,4,2,-2,2,2
576,25,4,2,2,2,2
577,38,4,11,11,6,11
578,3,4,1,1,1,1
580,9,4,3,3,2,2
581,999,4,4,0,1,1
583,999,4,1,-1,1,1
584,39,4,15,15,7,15
585,5,4,0,1,1,0
589,8,4,3,3,2,3
592,40,4,22,38,7,20
593,18,4,35,37,7,29
594,26,4,2,6,1,1
604,25,4,4,5,3,4
605,7,4,3,4,3,3
613,6,4,1,1,1,1
614,36,4,6,7,3,5
615,3,4,2,2,1,2
619,5,4,0,3,1,0
620,8,4,2,2,1,2
621,3,4,2,2,1,2
626,24,4,3,3,2,3
627,25,4,4,4,3,4
628,42,4,8,9,5,5
629,24,4,3,12,1,3
630,7,4,2,2,1,1
631,36,4,9,9,5,5
638,24,4,3,3,3,3
639,3,4,2,2,1,2
640,5,4,6,7,3,5
644,9,4,3,3,3,3
645,35,4,7,9,3,7
646,9,4,1,1,1,1
647,7,4,3,3,2,3
648,9,4,1,3,1,1
650,999,4,1,-1,1,1
651,3,4,2,2,1,2
652,9,4,3,3,2,2
653,35,4,2,2,1,2
654,8,4,2,2,2,2
657,8,4,2,3,2,2
661,999,4,1,-1,1,1
664,3,4,2,2,1,2
666,31,4,3,5,2,3
668,9,4,2,2,2,2
669,7,4,2,2,1,2
670,9,4,1,1,1,1
676,15,4,7,14,6,6
679,8,4,2,2,2,2
680,36,4,3,4,1,3
683,5,4,3,3,2,2
684,999,4,3,-1,2,3
685,999,4,1,0,1,1
686,36,4,6,6,4,4
687,5,4,6,6,2,6
688,39,4,4,5,3,3
690,38,4,13,14,6,13
693,999,4,1,-1,1,1
696,39,4,11,14,6,8
699,18,4,7,9,4,7
700,3,4,1,1,1,1
701,9,4,1,2,1,1
702,8,4,2,2,1,1
715,8,4,1,1,1,1
716,37,4,14,14,5,13
717,3,4,2,6,1,2
718,8,4,2,3,2,2
719,9,4,1,2,1,1
720,8,4,1,1,1,1
721,7,4,2,3,1,2
722,37,4,3,4,1,3
724,31,4,5,5,4,5
725,40,4,52,65,13,39
728,3,4,2,2,1,2
729,39,4,6,7,5,6
731,38,4,10,13,7,10
732,30,4,1,1,1,1
734,9,4,1,1,1,1
735,37,4,5,5,1,5
736,25,4,4,4,4,4
737,30,4,4,5,4,4
741,30,4,8,8,1,5
743,3,4,2,2,1,2
745,42,4,5,6,4,5
747,39,4,8,9,4,8
750,43,4,6,6,5,6
754,999,4,1,-1,1,1
760,7,4,1,1,1,1
762,36,4,5,5,4,5
765,24,4,2,3,1,2
767,24,4,6,6,1,4
770,5,4,1,1,1,1
772,25,4,3,3,3,3
773,999,4,2,-1,2,2
775,3,4,1,1,1,1
776,43,4,6,9,6,6
778,8,4,1,1,1,1
781,999,4,1,0,1,1
784,40,4,23,26,11,22
785,8,4,3,3,3,3
787,5,4,0,1,1,0
792,37,4,6,6,4,5
794,8,4,1,1,1,1
796,36,4,4,4,2,4
798,8,4,1,2,1,1
800,7,4,4,5,2,3
801,35,4,4,4,3,4
802,7,4,4,4,3,4
804,3,4,2,2,1,2
806,39,4,9,13,5,8
808,39,4,12,13,6,11
814,3,4,2,2,1,2
815,999,4,1,1,1,1
816,41,4,4,4,3,3
817,36,4,5,5,2,5
818,3,4,2,2,1,2
819,8,4,3,3,2,3
821,18,4,4,4,2,2
825,5,4,1,1,1,1
826,25,4,4,4,3,4
828,27,4,4,17,1,4
829,999,4,2,-2,1,1
831,39,4,10,10,5,7
834,9,4,2,2,2,2
837,8,4,1,1,1,1
838,3,4,2,6,1,2
839,5,4,5,6,4,5
841,3,4,1,1,1,1
844,999,4,2,2,1,2
845,32,4,2,4,2,2
847,9,4,3,3,3,3
848,31,4,9,9,4,9
851,8,4,1,1,1,1
852,38,4,4,4,4,4
856,9,4,2,2,1,2
858,3,4,2,2,1,2
860,9,4,2,2,2,2
861,3,4,2,2,1,2
863,5,4,9,10,5,9
867,9,4,3,3,2,3
868,39,4,6,7,4,5
871,26,4,21,24,8,21
873,30,4,2,2,1,2
876,9,4,1,1,1,1
879,8,4,1,1,1,1
880,42,4,11,12,9,11
881,19,4,1,1,1,1
882,999,4,1,-1,1,1
885,7,4,6,6,6,6
888,3,4,2,2,1,2
890,39,4,7,7,5,7
891,9,4,2,3,2,2
896,6,4,1,2,1,1
897,5,4,0,2,1,0
898,9,4,2,3,2,2
903,24,4,5,11,4,5
904,999,4,1,-1,1,1
905,9,4,3,3,2,3
906,7,4,12,18,8,11
908,40,4,18,21,4,11
909,37,4,1,1,1,1
910,999,4,3,4,2,2
913,8,4,2,3,2,2
914,999,4,1,1,1,1
915,5,4,1,1,1,1
921,9,4,2,2,2,2
924,36,4,5,20,5,5
925,21,4,7,7,3,4
927,40,4,7,12,6,7
928,999,4,2,-2,1,2
930,32,4,6,8,4,6
934,9,4,1,2,1,1
935,9,4,2,2,2,2
936,999,4,1,-1,1,1
938,9,4,2,3,2,2
942,3,4,2,2,1,2
943,25,4,5,5,2,3
944,3,4,2,2,2,2
946,9,4,2,2,2,2
947,5,4,2,3,1,2
949,8,4,3,3,2,3
950,999,4,2,0,1,1
954,3,4,1,1,1,1
955,8,4,1,1,1,1
956,8,4,1,1,1,1
957,42,4,6,10,6,6
958,36,4,3,6,3,3
962,36,4,9,9,4,7
965,36,4,6,9,6,6
966,8,4,1,1,1,1
973,999,4,1,-1,1,1
974,8,4,2,2,1,2
975,7,4,1,1,1,1
978,40,4,36,44,13,29
982,999,4,3,-3,3,3
984,33,4,1,1,1,1
985,39,4,11,11,7,11
987,9,4,2,3,2,2
990,40,4,21,21,11,19
991,7,4,11,11,6,11
994,9,4,1,1,1,1
996,9,4,1,1,1,1
997,8,4,2,2,2,2
998,9,4,3,3,3,3
999,9,4,3,3,3,3
1000,9,4,1,1,1,1
1002,999,4,2,2,1,2
1003,40,4,7,11,4,7
1004,40,4,18,22,8,16
1006,38,4,10,13,4,10
1009,43,4,6,6,4,6
1012,7,4,8,9,5,8
1013,999,4,1,-1,1,1
1015,8,4,3,3,2,3
1017,24,4,1,1,1,1
1018,25,4,5,5,3,5
1021,7,4,4,4,4,4
1022,32,4,3,3,1,3
1025,40,4,37,39,13,36
1028,25,4,6,7,4,4
1029,7,4,1,1,1,1
1031,9,4,3,3,3,3
1032,999,4,1,-1,1,1
1034,27,4,8,10,7,7
1035,35,4,4,4,2,3
1036,5,4,0,1,1,0
1037,3,4,1,3,1,1
1038,9,4,2,2,2,2
1040,21,4,9,11,1,7
1041,24,4,10,14,5,9
1042,37,4,6,6,1,5
1043,9,4,1,2,1,1
1044,7,4,3,3,3,3
1046,39,4,9,11,5,9
1048,39,4,12,12,8,12
1049,999,4,1,-1,1,1
1050,8,4,1,2,1,1
1052,15,4,10,10,3,3
1055,32,4,4,4,3,4
1056,3,4,1,1,1,1
1057,5,4,4,5,1,4
1059,8,4,1,1,1,1
1060,8,4,1,1,1,1
1064,5,4,0,1,1,0
1065,40,4,24,24,10,22
1067,999,4,2,2,2,2
1068,23,4,4,4,2,2
1069,33,4,10,15,5,9
1070,999,4,2,2,2,2
1071,40,4,26,34,6,15
1072,33,4,13,15,5,11
1073,5,4,0,1,1,0
1077,8,4,1,1,1,1
1079,24,4,7,8,3,6
1080,8,4,2,2,2,2
1081,39,4,15,14,7,13
1085,37,4,13,19,5,12
1087,9,4,1,1,1,1
1088,999,4,2,5,1,1
1090,8,4,2,2,2,2
1092,5,4,4,4,1,4
1093,7,4,1,1,1,1
1094,36,4,4,4,2,3
1095,39,4,6,6,6,6
1099,37,4,18,23,9,17
1103,8,4,1,1,1,1
1105,41,4,11,12,5,11
1108,39,4,6,6,4,6
1109,15,4,4,7,2,4
1111,8,4,1,1,1,1
1114,9,4,2,2,2,2
1115,39,4,4,5,4,4
1116,15,4,3,7,3,3
1117,7,4,1,1,1,1
1120,999,4,1,0,1,1
1124,39,4,5,5,4,4
1130,40,4,24,27,8,17
1131,22,4,1,1,1,1
1134,40,4,43,51,8,34
1136,19,4,1,1,1,1
1137,31,4,2,2,1,2
1138,3,4,2,2,1,2
1141,8,4,3,3,2,3
1142,7,4,12,16,8,11
1143,8,4,3,3,2,3
1144,9,4,1,1,1,1
1145,3,4,2,2,1,2
1152,8,4,3,3,2,2
1156,8,4,3,3,3,3
1157,31,4,1,1,1,1
1160,999,4,1,-1,1,1
1162,5,4,1,1,1,1
1163,39,4,13,14,6,11
1164,21,4,1,5,1,1
1165,3,4,2,2,1,2
1167,8,4,2,2,2,2
1169,27,4,16,18,5,10
1170,5,4,0,1,1,0
1171,39,4,15,17,6,12
1176,7,4,1,1,1,1
1178,7,4,4,8,2,4
1179,40,4,29,35,8,23
1180,36,4,3,5,2,3
1182,9,4,1,1,1,1
1184,7,4,4,4,3,3
1187,38,4,21,22,10,21
1188,7,4,2,2,1,2
1189,3,4,2,4,1,2
1190,29,4,1,1,1,1
1191,35,4,5,11,4,5
1194,5,4,1,1,1,1
1195,27,4,4,10,2,4
1196,999,4,1,1,1,1
1199,3,4,2,2,1,2
1200,40,4,20,24,12,18
1201,40,4,19,22,7,18
1206,33,4,10,11,8,10
1207,999,4,1,-1,1,1
1209,9,4,1,1,1,1
1210,40,4,5,16,2,4
1211,24,4,3,3,3,3
1216,22,4,2,2,1,2
1217,33,4,16,16,9,16
1218,24,4,12,15,7,12
1220,39,4,10,11,7,10
1221,40,4,21,23,8,18
1222,39,4,15,17,7,15
1223,9,4,1,1,1,1
1224,5,4,2,2,2,2
1227,18,4,6,6,4,6
1228,24,4,2,2,1,2
1229,3,4,2,2,1,2
1231,39,4,10,10,5,10
1233,9,4,1,1,1,1
1234,999,4,2,0,2,2
1235,999,4,1,-1,1,1
1236,44,4,11,12,5,8
1237,8,4,1,1,1,1
1239,3,4,2,2,1,2
1243,25,4,3,3,2,2
1246,39,4,12,15,6,12
1247,8,4,1,1,1,1
1250,8,4,1,2,1,1
1251,7,4,2,2,2,2
1252,7,4,3,4,2,2
1253,6,4,2,2,2,2
1259,9,4,2,3,2,2
1260,8,4,2,2,2,2
1262,24,4,18,23,10,15
1264,8,4,2,2,2,2
1267,27,4,5,7,3,5
1269,43,4,8,9,4,7
1271,999,4,2,2,1,2
1274,999,4,1,-1,1,1
1275,42,4,17,18,7,16
1276,24,4,10,17,6,10
1277,999,4,1,1,1,1
1279,7,4,2,2,2,2
1280,5,4,1,1,1,1
1282,3,4,2,2,1,2
1283,40,4,15,20,7,13
1286,42,4,12,12,6,10
1290,3,4,2,2,2,2
1292,3,4,3,3,2,3
1293,43,4,6,6,5,5
1298,25,4,9,9,4,9
1300,39,4,11,12,9,10
1306,38,4,16,18,5,13
1307,25,4,7,7,2,5
1310,9,4,2,2,1,2
1312,8,4,1,1,1,1
1314,5,4,6,6,5,6
1316,7,4,4,5,3,4
1317,7,4,2,13,1,2
1319,9,4,2,2,2,2
1320,5,4,2,2,2,2
1321,34,4,6,11,1,4
1328,4,4,1,1,1,1
1330,41,4,5,5,4,4
1331,8,4,2,3,2,2
1335,8,4,2,2,2,2
1337,8,4,2,2,1,2
1338,36,4,6,7,4,6
1340,41,4,7,8,5,6
1341,8,4,3,3,2,3
1342,9,4,1,1,1,1
1345,15,4,6,6,3,6
1346,36,4,1,1,1,1
1348,9,4,1,2,1,1
1349,3,4,2,2,2,2
1353,37,4,12,13,6,10
1354,22,4,1,1,1,1
1355,9,4,2,3,3,2
1356,40,4,21,28,8,19
1358,21,4,2,4,1,2
1360,15,4,3,5,3,3
1362,38,4,12,26,5,7
1363,15,4,4,7,3,3
1364,5,4,3,3,3,3
1365,39,4,12,12,4,7
1366,7,4,2,2,1,2
1368,999,4,2,0,1,1
1371,36,4,4,9,2,4
1373,8,4,1,2,1,1
1376,39,4,5,10,3,5
1379,24,4,1,1,1,1
1381,7,4,6,6,6,6
1382,8,4,3,3,2,3
1383,39,4,9,10,6,8
1385,44,4,23,25,9,16
1389,22,4,1,1,1,1
1390,7,4,3,3,1,3
1392,5,4,0,1,1,0
1393,9,4,2,2,1,2
1394,36,4,6,6,3,6
1395,32,4,1,5,1,1
1396,43,4,15,17,9,14
1397,8,4,3,3,2,3
1399,8,4,2,2,2,2
1400,3,4,2,2,1,2
1402,5,4,0,1,1,0
1406,3,4,2,2,2,2
1409,40,4,25,26,12,23
1411,999,4,1,-1,1,1
1412,39,4,14,15,5,11
1415,999,4,1,1,1,1
1419,8,4,1,1,1,1
1422,40,4,46,49,16,41
1423,9,4,3,3,1,2
1424,999,4,1,-1,1,1
1425,5,4,0,1,1,0
1426,32,4,1,3,1,1
1427,33,4,10,14,6,10
1429,36,4,6,6,4,6
1430,39,4,10,11,6,10
1431,32,4,6,8,1,2
1432,8,4,1,1,1,1
1436,7,4,4,4,2,3
1438,999,4,1,-1,1,1
1439,39,4,10,10,8,10
1440,9,4,1,2,1,1
1448,39,4,9,9,5,7
1449,9,4,2,2,1,2
1450,36,4,6,6,3,6
1451,39,4,3,4,3,3
1452,3,4,2,2,1,2
1453,27,4,3,4,2,3
1455,8,4,1,3,1,1
1458,25,4,2,4,2,2
1459,7,4,2,2,2,2
1460,999,4,1,0,1,1
1466,999,4,2,0,1,1
1467,5,4,4,4,2,4
1469,7,4,4,5,2,3
1471,35,4,4,10,2,4
1474,8,4,1,1,1,1
1476,5,4,1,1,1,1
1478,7,4,2,2,1,2
1484,24,4,3,3,3,3
1487,5,4,0,2,1,0
1488,26,4,5,8,5,5
1490,7,4,3,4,3,3
1494,9,4,2,2,2,2
1495,3,4,1,1,1,1
1496,22,4,1,1,1,1
1497,32,4,9,9,1,7
1498,999,4,2,2,1,2
1499,9,4,2,2,1,2
1503,42,4,6,11,5,5
1504,999,4,3,1,2,3
1506,9,4,3,3,1,3
1508,5,4,1,2,1,1
1513,38,4,7,7,2,7
1516,30,4,1,1,1,1
1518,999,4,1,-1,1,1
1520,5,4,2,2,1,1
1521,38,4,10,11,4,9
1523,39,4,9,12,5,7
1527,7,4,2,2,2,2
1529,8,4,1,1,1,1
1533,37,4,23,24,8,22
1534,24,4,1,1,1,1
1535,40,4,35,50,13,32
1536,3,4,2,2,1,2
1537,3,4,2,2,1,2
1538,35,4,21,25,6,16
1539,5,4,3,4,1,2
1546,25,4,2,2,1,2
1547,3,4,2,2,2,2
1550,6,4,9,9,5,9
1552,7,4,1,1,1,1
1553,27,4,6,7,3,5
1554,9,4,2,2,2,2
1556,3,4,2,2,1,2
1559,40,4,22,23,8,17
1561,9,4,1,1,1,1
1562,38,4,5,5,3,4
1564,22,4,9,9,6,9
1565,8,4,3,3,1,3
1568,9,4,1,1,1,1
1570,39,4,14,14,9,13
1575,4,4,5,5,4,5
1576,5,4,2,2,2,2
1579,999,4,3,0,2,2
1581,7,4,4,4,3,4
1587,26,4,4,9,2,2
1589,7,4,5,5,2,3
1590,26,4,3,3,3,3
1591,3,4,1,1,1,1
1592,39,4,7,7,4,5
1593,5,4,4,4,3,4
1597,5,4,7,10,4,5
1599,9,4,2,3,1,1
1602,7,4,1,1,1,1
1603,5,4,0,1,1,0
1604,36,4,4,4,3,3
1607,21,4,9,10,3,4
1611,7,4,3,3,3,3
1612,5,4,1,1,1,1
1613,9,4,2,2,2,2
1614,999,4,1,-1,1,1
1615,24,4,8,8,3,8
1618,5,4,3,3,1,3
1620,20,4,6,7,5,5
1622,24,4,1,1,1,1
1624,7,4,4,4,4,4
1625,41,4,2,3,2,2
1627,36,4,5,6,2,5
1628,9,4,2,3,2,2
1630,3,4,1,1,1,1
1631,3,4,2,2,1,2
1632,40,4,16,24,8,16
1634,40,4,19,27,8,17
1635,40,4,34,37,9,19
1636,35,4,4,4,1,4
1638,40,4,30,33,14,27
1639,3,4,2,2,2,2
1640,27,4,1,4,1,1
1641,37,4,5,5,4,5
1645,7,4,3,3,1,3
1647,44,4,5,6,4,5
1648,7,4,4,4,2,3
1652,5,4,0,3,1,0
1653,7,4,1,1,1,1
1657,40,4,26,28,11,23
1658,9,4,3,3,3,3
1659,40,4,33,38,8,30
1660,42,4,14,15,8,13
1661,39,4,18,19,14,18
1662,28,4,1,1,1,1
1663,999,4,2,1,1,2
1664,15,4,25,26,11,23
1666,3,4,2,2,1,2
1671,8,4,1,1,1,1
1672,43,4,5,6,3,5
1673,7,4,1,1,1,1
1674,999,4,7,9,5,6
1676,5,4,1,2,2,1
1677,40,4,25,25,12,23
1678,35,4,8,8,4,7
1680,39,4,5,5,5,5
1681,8,4,1,2,1,1
1682,999,4,2,-4,2,2
1684,8,4,2,2,2,2
1690,39,4,12,14,8,12
1691,39,4,12,18,6,10
1694,8,4,3,3,3,3
1696,8,4,3,3,3,3
1697,3,4,1,1,1,1
1699,8,4,1,1,1,1
1700,7,4,3,4,2,3
1701,8,4,2,2,2,2
1702,8,4,1,1,1,1
1703,43,4,9,9,6,9
1705,999,4,5,-9,2,2
1709,999,4,1,-1,1,1
1710,37,4,18,19,7,18
1711,8,4,2,2,1,2
1712,39,4,12,12,7,12
1713,9,4,2,2,1,1
1716,20,4,4,4,3,4
1717,8,4,1,1,1,1
1718,38,4,9,9,7,9
1720,38,4,11,13,6,11
1723,25,4,4,4,3,4
1725,26,4,2,2,1,2
1726,9,4,1,1,1,1
1728,3,4,2,2,1,2
1729,5,4,0,3,1,0
1731,24,4,6,6,4,6
1734,40,4,26,30,9,13
1735,3,4,2,2,2,2
1736,35,4,4,4,2,4
1738,8,4,2,1,1,2
1739,9,4,1,1,1,1
1740,40,4,25,25,10,22
1741,39,4,4,4,3,4
1743,32,4,1,1,1,1
1744,24,4,2,2,1,1
1745,8,4,2,2,2,2
1748,40,4,27,37,11,19
1760,9,4,1,1,1,1
1762,36,4,6,6,4,6
1764,9,4,3,3,2,2
1766,37,4,19,27,6,18
1768,8,4,1,1,1,1
1771,39,4,7,7,3,7
1772,8,4,1,1,1,1
1773,40,4,28,30,7,22
1775,39,4,3,7,3,3
1776,9,4,4,3,2,4
1779,36,4,9,10,2,8
1782,44,4,15,16,9,14
1783,999,4,1,0,1,1
1784,8,4,3,3,3,3
1785,39,4,18,18,11,18
1786,29,4,7,7,5,7
1787,8,4,2,2,1,2
1790,3,4,2,2,1,2
1793,8,4,2,2,2,2
1794,38,4,4,4,2,4
1795,5,4,2,2,2,2
1796,33,4,3,3,1,3
1797,8,4,2,2,2,2
1799,9,4,2,2,1,2
1800,37,4,3,3,1,3
1803,44,4,9,10,4,7
1804,35,4,3,4,1,2
1805,37,4,3,4,1,3
1806,6,4,1,2,1,1
1808,25,4,8,8,6,8
1812,5,4,1,1,1,1
1815,39,4,5,5,4,5
1816,20,4,2,2,1,2
1821,24,4,6,6,2,4
1824,8,4,2,2,2,2
1826,39,4,10,16,7,9
1827,5,4,6,6,5,6
1831,3,4,2,2,1,2
1835,7,4,2,2,2,2
1836,32,4,6,7,2,6
1837,8,4,1,1,1,1
1838,3,4,1,1,1,1
1840,999,4,1,1,1,1
1841,26,4,8,9,5,8
1843,999,4,1,-1,1,1
1844,999,4,2,0,1,2
1845,8,4,3,3,3,3
1851,5,4,0,5,1,0
1853,25,4,5,5,1,3
1854,36,4,9,9,2,9
1856,999,4,4,-4,1,2
1860,5,4,0,7,1,0
1861,8,4,1,1,1,1
1862,3,4,2,2,1,2
1864,39,4,9,10,2,8
1867,15,4,6,15,2,5
1868,25,4,41,46,13,31
1869,41,4,39,38,16,35
1871,5,4,7,26,3,5
1872,8,4,1,1,1,1
1873,39,4,8,13,5,6
1877,3,4,2,2,1,2
1879,5,4,0,2,1,0
